ticker,type,strike,expiry,iv,open_interest,market_price
BOVAN109,PUT,R$ 109.00,20/02/2026,38.4%,1277302,0.01
BOVAB173,CALL,R$ 173.00,20/02/2026,15.5%,1260173,0.59
BOVAN147,PUT,R$ 147.00,20/02/2026,23.6%,1243710,0.12
BOVAB185,CALL,R$ 185.00,20/02/2026,20.5%,1177677,0.12
BOVAN112,PUT,R$ 112.00,20/02/2026,37.4%,1160948,0.01
BOVAN119,PUT,R$ 119.00,20/02/2026,34.9%,1104202,0.01
BOVAN950,PUT,R$ 95.00,20/02/2026,42.8%,1021501,0.01
BOVAN149,PUT,R$ 149.00,20/02/2026,22.3%,1010659,0.16
BOVAB149,CALL,R$ 149.00,20/02/2026,-,1009140,15.77
BOVAB147,CALL,R$ 147.00,20/02/2026,-,1005485,17.59
BOVAN101,PUT,R$ 101.00,20/02/2026,65.5%,1003306,0.01
BOVAB205,CALL,R$ 205.00,20/02/2026,28.2%,1003043,0.03
BOVAN116,PUT,R$ 116.00,20/02/2026,35.8%,999770,0.01
BOVAN141,PUT,R$ 141.00,20/02/2026,27.1%,986259,0.06
BOVAN102,PUT,R$ 102.00,20/02/2026,39.8%,970098,0.01
BOVAN900,PUT,R$ 90.00,20/02/2026,46.1%,951500,0.01
BOVAN107,PUT,R$ 107.00,20/02/2026,40.8%,946472,0.01
BOVAB186,CALL,R$ 186.00,20/02/2026,20.9%,941820,0.11
BOVAB123,CALL,R$ 123.00,20/02/2026,-,933983,41.1
BOVAB148,CALL,R$ 148.00,20/02/2026,-,921567,16.49
BOVAN143,PUT,R$ 143.00,20/02/2026,25.9%,902565,0.08
BOVAB178,CALL,R$ 178.00,20/02/2026,17.1%,852873,0.27
BOVAB139,CALL,R$ 139.00,20/02/2026,-,849508,25.36
BOVAB143,CALL,R$ 143.00,20/02/2026,-,848185,21.57
BOVAB177,CALL,R$ 177.00,20/02/2026,16.7%,843746,0.32
BOVAN121,PUT,R$ 121.00,20/02/2026,35.4%,841770,0.01
BOVAB128,CALL,R$ 128.00,20/02/2026,-,839963,36.01
BOVAN166,PUT,R$ 166.00,20/02/2026,16.3%,836558,3.5
BOVAN142,PUT,R$ 142.00,20/02/2026,26.9%,828242,0.07
BOVAB132,CALL,R$ 132.00,20/02/2026,-,815199,32.22
BOVAB141,CALL,R$ 141.00,20/02/2026,-,813141,23.46
BOVAB137,CALL,R$ 137.00,20/02/2026,-,802197,27.25
BOVAB142,CALL,R$ 142.00,20/02/2026,-,799310,22.6
BOVAN135,PUT,R$ 135.00,20/02/2026,29.8%,779805,0.04
BOVAB146,CALL,R$ 146.00,20/02/2026,-,775215,18.49
BOVAB120,CALL,R$ 120.00,20/02/2026,-,773361,44.1
BOVAN108,PUT,R$ 108.00,20/02/2026,39.4%,749101,0.01
BOVAB188,CALL,R$ 188.00,20/02/2026,21.8%,746390,0.09
BOVAN113,PUT,R$ 113.00,20/02/2026,35.4%,705021,0.01
BOVAN124,PUT,R$ 124.00,20/02/2026,32.6%,702047,0.01
BOVAN180,PUT,R$ 180.00,20/02/2026,25.2%,700842,15.45
BOVAB200,CALL,R$ 200.00,20/02/2026,26.6%,691701,0.03
BOVAB131,CALL,R$ 131.00,20/02/2026,-,688673,33.15
BOVAN138,PUT,R$ 138.00,20/02/2026,23.5%,658511,0.04
BOVAN114,PUT,R$ 114.00,20/02/2026,36.9%,644062,0.01
BOVAN990,PUT,R$ 99.00,20/02/2026,41.3%,622303,0.01
BOVAB215,CALL,R$ 215.00,20/02/2026,32.3%,620100,0.01
BOVAB144,CALL,R$ 144.00,20/02/2026,-,611538,20.36
BOVAN167,PUT,R$ 167.00,20/02/2026,16.3%,605372,4.23
BOVAB125,CALL,R$ 125.00,20/02/2026,-,604545,39.22
BOVAN168,PUT,R$ 168.00,20/02/2026,16.4%,599569,4.72
BOVAB181,CALL,R$ 181.00,20/02/2026,18.5%,589627,0.18
BOVAB179,CALL,R$ 179.00,20/02/2026,17.6%,588773,0.24
BOVAB133,CALL,R$ 133.00,20/02/2026,38.2%,587637,31.14
BOVAB184,CALL,R$ 184.00,20/02/2026,20.0%,563279,0.14
BOVAN126,PUT,R$ 126.00,20/02/2026,33.9%,533826,0.01
BOVAN139,PUT,R$ 139.00,20/02/2026,27.9%,532480,0.05
BOVAB100,CALL,R$ 100.00,20/02/2026,-,520396,63.56
BOVAN200,PUT,R$ 200.00,20/02/2026,36.7%,512507,34.82
BOVAB134,CALL,R$ 134.00,20/02/2026,-,474254,30.35
BOVAN132,PUT,R$ 132.00,20/02/2026,30.0%,466313,0.02
BOVAN104,PUT,R$ 104.00,20/02/2026,43.6%,460000,0.01
BOVAN117,PUT,R$ 117.00,20/02/2026,36.0%,457129,0.01
BOVAN103,PUT,R$ 103.00,20/02/2026,44.4%,431501,0.01
BOVAN133,PUT,R$ 133.00,20/02/2026,30.7%,405501,0.03
BOVAN128,PUT,R$ 128.00,20/02/2026,33.4%,396386,0.02
BOVAN940,PUT,R$ 94.00,20/02/2026,42.1%,380000,0.01
BOVAB183,CALL,R$ 183.00,20/02/2026,19.5%,361777,0.14
BOVAN920,PUT,R$ 92.00,20/02/2026,44.6%,360000,0.01
BOVAB136,CALL,R$ 136.00,20/02/2026,-,359422,28.11
BOVAB127,CALL,R$ 127.00,20/02/2026,-,357452,37.11
BOVAN137,PUT,R$ 137.00,20/02/2026,27.5%,355063,0.03
BOVAN144,PUT,R$ 144.00,20/02/2026,25.6%,338090,0.09
BOVAB182,CALL,R$ 182.00,20/02/2026,19.1%,333209,0.17
BOVAN136,PUT,R$ 136.00,20/02/2026,29.7%,330707,0.04
BOVAB800,CALL,R$ 80.00,20/02/2026,-,305956,83.2
BOVAN131,PUT,R$ 131.00,20/02/2026,30.8%,300547,0.02
BOVAB121,CALL,R$ 121.00,20/02/2026,-,294236,43.5
BOVAB191,CALL,R$ 191.00,20/02/2026,23.1%,287099,0.07
BOVAB189,CALL,R$ 189.00,20/02/2026,22.4%,275841,0.09
BOVAB129,CALL,R$ 129.00,20/02/2026,-,274632,35
BOVAN134,PUT,R$ 134.00,20/02/2026,30.7%,269344,0.03
BOVAB187,CALL,R$ 187.00,20/02/2026,21.4%,266358,0.11
BOVAB124,CALL,R$ 124.00,20/02/2026,-,241694,39.9
BOVAN175,PUT,R$ 175.00,20/02/2026,20.8%,238633,10.69
BOVAB115,CALL,R$ 115.00,20/02/2026,-,235966,48.8
BOVAN127,PUT,R$ 127.00,20/02/2026,34.4%,231015,0.01
BOVAN129,PUT,R$ 129.00,20/02/2026,32.5%,220562,0.02
BOVAN169,PUT,R$ 169.00,20/02/2026,16.5%,204818,5.75
BOVAN980,PUT,R$ 98.00,20/02/2026,43.0%,203105,0.01
BOVAN960,PUT,R$ 96.00,20/02/2026,43.8%,185703,0.01
BOVAN995,PUT,R$ 99.50,20/02/2026,45.1%,175000,0.01
BOVAB210,CALL,R$ 210.00,20/02/2026,31.3%,171801,0.02
BOVAN970,PUT,R$ 97.00,20/02/2026,42.4%,150001,0.01
BOVAB700,CALL,R$ 70.00,20/02/2026,-,141380,92.07
BOVAN840,PUT,R$ 84.00,20/02/2026,44.9%,140000,0.01
BOVAB116,CALL,R$ 116.00,20/02/2026,-,128895,48.05
BOVAN178,PUT,R$ 178.00,20/02/2026,20.4%,122500,13.5
BOVAB117,CALL,R$ 117.00,20/02/2026,-,118833,47.21
BOVAB114,CALL,R$ 114.00,20/02/2026,-,118765,48.3
BOVAN190,PUT,R$ 190.00,20/02/2026,31.5%,117353,25.25
BOVAB112,CALL,R$ 112.00,20/02/2026,-,113503,51.1
BOVAB126,CALL,R$ 126.00,20/02/2026,-,112874,36.9
BOVAB197,CALL,R$ 197.00,20/02/2026,25.3%,106000,0.04
BOVAB193,CALL,R$ 193.00,20/02/2026,24.6%,104793,0.05
BOVAB196,CALL,R$ 196.00,20/02/2026,25.3%,102292,0.04
BOVAN930,PUT,R$ 93.00,20/02/2026,44.2%,100100,0.01
BOVAN171,PUT,R$ 171.00,20/02/2026,16.9%,98797,6.89
BOVAB900,CALL,R$ 90.00,20/02/2026,-,97756,72.21
BOVAN880,PUT,R$ 88.00,20/02/2026,42.6%,96700,0.01
BOVAB110,CALL,R$ 110.00,20/02/2026,-,90541,53.9
BOVAB195,CALL,R$ 195.00,20/02/2026,24.4%,87460,0.05
BOVAB192,CALL,R$ 192.00,20/02/2026,23.6%,84262,0.05
BOVAB122,CALL,R$ 122.00,20/02/2026,-,81860,41.92
BOVAN182,PUT,R$ 182.00,20/02/2026,24.8%,74116,18.66
BOVAN850,PUT,R$ 85.00,20/02/2026,44.7%,72500,0.01
BOVAB119,CALL,R$ 119.00,20/02/2026,-,71066,44.8
BOVAB118,CALL,R$ 118.00,20/02/2026,-,63767,44.6
BOVAB220,CALL,R$ 220.00,20/02/2026,34.4%,61100,0.01
BOVAN910,PUT,R$ 91.00,20/02/2026,43.8%,60500,0.01
BOVAB199,CALL,R$ 199.00,20/02/2026,26.3%,51177,0.03
BOVAN195,PUT,R$ 195.00,20/02/2026,32.8%,50102,31.24
BOVAN187,PUT,R$ 187.00,20/02/2026,29.2%,50005,22.1
BOVAB194,CALL,R$ 194.00,20/02/2026,24.4%,49116,0.05
BOVAN179,PUT,R$ 179.00,20/02/2026,22.5%,45247,14.47
BOVAN184,PUT,R$ 184.00,20/02/2026,26.6%,42713,19.79
BOVAN186,PUT,R$ 186.00,20/02/2026,28.3%,42187,21.3
BOVAN860,PUT,R$ 86.00,20/02/2026,46.7%,41900,0.01
BOVAN181,PUT,R$ 181.00,20/02/2026,24.0%,41125,18.16
BOVAN700,PUT,R$ 70.00,20/02/2026,49.8%,40202,0.01
BOVAN193,PUT,R$ 193.00,20/02/2026,31.5%,38558,27.75
BOVAN189,PUT,R$ 189.00,20/02/2026,30.8%,35005,26.91
BOVAN750,PUT,R$ 75.00,20/02/2026,52.6%,34500,0.01
BOVAB240,CALL,R$ 240.00,20/02/2026,34.9%,34500,0.01
BOVAN174,PUT,R$ 174.00,20/02/2026,18.0%,34110,10.05
BOVAB850,CALL,R$ 85.00,20/02/2026,-,32350,73.4
BOVAB108,CALL,R$ 108.00,20/02/2026,-,30605,53.85
BOVAB105,CALL,R$ 105.00,20/02/2026,-,28944,58.15
BOVAN185,PUT,R$ 185.00,20/02/2026,27.3%,26838,20.07
BOVAB113,CALL,R$ 113.00,20/02/2026,-,24931,50.9
BOVAB103,CALL,R$ 103.00,20/02/2026,-,23943,60.58
BOVAB720,CALL,R$ 72.00,20/02/2026,-,21000,86.15
BOVAB111,CALL,R$ 111.00,20/02/2026,-,20960,51.77
BOVAN173,PUT,R$ 173.00,20/02/2026,17.5%,20098,9.01
BOVAN192,PUT,R$ 192.00,20/02/2026,33.7%,20000,30.78
BOVAN176,PUT,R$ 176.00,20/02/2026,17.5%,18739,13.5
BOVAN172,PUT,R$ 172.00,20/02/2026,17.2%,18606,8.01
BOVAB101,CALL,R$ 101.00,20/02/2026,-,16003,61.34
BOVAB225,CALL,R$ 225.00,20/02/2026,36.6%,15973,0.01
BOVAB760,CALL,R$ 76.00,20/02/2026,-,15501,85.1
BOVAN915,PUT,R$ 91.50,20/02/2026,43.2%,15000,0.01
BOVAB198,CALL,R$ 198.00,20/02/2026,26.0%,11000,0.04
BOVAN188,PUT,R$ 188.00,20/02/2026,30.1%,10508,22.9
BOVAB104,CALL,R$ 104.00,20/02/2026,-,10150,56.18
BOVAN760,PUT,R$ 76.00,20/02/2026,50.1%,10000,0.01
BOVAN770,PUT,R$ 77.00,20/02/2026,49.3%,10000,0.01
BOVAB780,CALL,R$ 78.00,20/02/2026,-,10000,80.31
BOVAN194,PUT,R$ 194.00,20/02/2026,32.2%,10000,35.74
BOVAB235,CALL,R$ 235.00,20/02/2026,33.3%,10000,0.01
BOVAN220,PUT,R$ 220.00,20/02/2026,49.7%,9028,56.46
BOVAN177,PUT,R$ 177.00,20/02/2026,18.0%,8224,12.44
BOVAB960,CALL,R$ 96.00,20/02/2026,-,6380,66.3
BOVAN205,PUT,R$ 205.00,20/02/2026,39.7%,5913,39.97
BOVAB109,CALL,R$ 109.00,20/02/2026,-,5685,54.05
BOVAB790,CALL,R$ 79.00,20/02/2026,-,5605,84.08
BOVAB590,CALL,R$ 59.00,20/02/2026,-,5501,102.3
BOVAB600,CALL,R$ 60.00,20/02/2026,-,5362,101.9
BOVAB106,CALL,R$ 106.00,20/02/2026,-,5304,57.54
BOVAB102,CALL,R$ 102.00,20/02/2026,-,5120,59.1
BOVAB770,CALL,R$ 77.00,20/02/2026,-,5000,79.98
BOVAB875,CALL,R$ 87.50,20/02/2026,-,5000,70.08
BOVAB920,CALL,R$ 92.00,20/02/2026,-,4197,68.94
BOVAB885,CALL,R$ 88.50,20/02/2026,-,3931,72.5
BOVAB260,CALL,R$ 260.00,20/02/2026,51.9%,3400,0.01
BOVAB935,CALL,R$ 93.50,20/02/2026,-,3350,66.1
BOVAB107,CALL,R$ 107.00,20/02/2026,-,3150,53.45
BOVAB940,CALL,R$ 94.00,20/02/2026,-,2742,60.1
BOVAB930,CALL,R$ 93.00,20/02/2026,-,2700,67.58
BOVAB250,CALL,R$ 250.00,20/02/2026,47.9%,2558,0.01
BOVAN183,PUT,R$ 183.00,20/02/2026,25.7%,2481,19
BOVAN210,PUT,R$ 210.00,20/02/2026,43.0%,2089,46.07
BOVAB255,CALL,R$ 255.00,20/02/2026,46.7%,1800,0.01
BOVAB690,CALL,R$ 69.00,20/02/2026,-,1414,92.67
BOVAN740,PUT,R$ 74.00,20/02/2026,58.6%,1000,0.01
BOVAB810,CALL,R$ 81.00,20/02/2026,-,1000,80.98
BOVAB710,CALL,R$ 71.00,20/02/2026,-,860,89.98
BOVAB990,CALL,R$ 99.00,20/02/2026,-,787,65.2
BOVAB650,CALL,R$ 65.00,20/02/2026,-,683,95.64
BOVAB825,CALL,R$ 82.50,20/02/2026,-,640,79.7
BOVAB950,CALL,R$ 95.00,20/02/2026,-,586,66.28
BOVAB870,CALL,R$ 87.00,20/02/2026,-,515,71.68
BOVAB955,CALL,R$ 95.50,20/02/2026,-,500,64
BOVAB970,CALL,R$ 97.00,20/02/2026,-,450,65.41
BOVAN196,PUT,R$ 196.00,20/02/2026,33.6%,409,31.22
BOVAN255,PUT,R$ 255.00,20/02/2026,70.3%,200,92
BOVAB980,CALL,R$ 98.00,20/02/2026,-,9,66.15
BOVAB895,CALL,R$ 89.50,20/02/2026,-,6,69.5
BOVAN600,PUT,R$ 60.00,20/02/2026,104.1%,1,0.01
BOVAN590,PUT,R$ 59.00,20/02/2026,-,0,
BOVAB610,CALL,R$ 61.00,20/02/2026,-,0,
BOVAN610,PUT,R$ 61.00,20/02/2026,-,0,
BOVAB620,CALL,R$ 62.00,20/02/2026,-,0,
BOVAN620,PUT,R$ 62.00,20/02/2026,-,0,
BOVAB630,CALL,R$ 63.00,20/02/2026,-,0,
BOVAN630,PUT,R$ 63.00,20/02/2026,-,0,
BOVAB640,CALL,R$ 64.00,20/02/2026,-,0,
BOVAN640,PUT,R$ 64.00,20/02/2026,-,0,
BOVAN650,PUT,R$ 65.00,20/02/2026,-,0,
BOVAB660,CALL,R$ 66.00,20/02/2026,-,0,
BOVAN660,PUT,R$ 66.00,20/02/2026,-,0,
BOVAB670,CALL,R$ 67.00,20/02/2026,-,0,
BOVAN670,PUT,R$ 67.00,20/02/2026,-,0,
BOVAB680,CALL,R$ 68.00,20/02/2026,-,0,
BOVAN680,PUT,R$ 68.00,20/02/2026,-,0,
BOVAN690,PUT,R$ 69.00,20/02/2026,-,0,
BOVAN710,PUT,R$ 71.00,20/02/2026,-,0,
BOVAN720,PUT,R$ 72.00,20/02/2026,-,0,
BOVAB730,CALL,R$ 73.00,20/02/2026,-,0,
BOVAN730,PUT,R$ 73.00,20/02/2026,-,0,
BOVAB740,CALL,R$ 74.00,20/02/2026,-,0,
BOVAB750,CALL,R$ 75.00,20/02/2026,-,0,
BOVAN780,PUT,R$ 78.00,20/02/2026,-,0,
BOVAN790,PUT,R$ 79.00,20/02/2026,-,0,
BOVAN810,PUT,R$ 81.00,20/02/2026,49.0%,0,
BOVAB820,CALL,R$ 82.00,20/02/2026,-,0,
BOVAN820,PUT,R$ 82.00,20/02/2026,-,0,
BOVAN825,PUT,R$ 82.50,20/02/2026,-,0,
BOVAB830,CALL,R$ 83.00,20/02/2026,-,0,
BOVAN830,PUT,R$ 83.00,20/02/2026,-,0,
BOVAB835,CALL,R$ 83.50,20/02/2026,-,0,
BOVAN835,PUT,R$ 83.50,20/02/2026,-,0,
BOVAB840,CALL,R$ 84.00,20/02/2026,-,0,
BOVAB845,CALL,R$ 84.50,20/02/2026,-,0,
BOVAN845,PUT,R$ 84.50,20/02/2026,-,0,
BOVAB855,CALL,R$ 85.50,20/02/2026,-,0,
BOVAN855,PUT,R$ 85.50,20/02/2026,-,0,
BOVAB860,CALL,R$ 86.00,20/02/2026,-,0,
BOVAB865,CALL,R$ 86.50,20/02/2026,-,0,
BOVAN865,PUT,R$ 86.50,20/02/2026,-,0,
BOVAN870,PUT,R$ 87.00,20/02/2026,-,0,
BOVAN875,PUT,R$ 87.50,20/02/2026,-,0,
BOVAB880,CALL,R$ 88.00,20/02/2026,-,0,
BOVAN885,PUT,R$ 88.50,20/02/2026,-,0,
BOVAB890,CALL,R$ 89.00,20/02/2026,-,0,
BOVAN890,PUT,R$ 89.00,20/02/2026,-,0,
BOVAN895,PUT,R$ 89.50,20/02/2026,-,0,
BOVAB905,CALL,R$ 90.50,20/02/2026,-,0,
BOVAN905,PUT,R$ 90.50,20/02/2026,-,0,
BOVAB910,CALL,R$ 91.00,20/02/2026,-,0,
BOVAB915,CALL,R$ 91.50,20/02/2026,-,0,
BOVAB925,CALL,R$ 92.50,20/02/2026,-,0,
BOVAN925,PUT,R$ 92.50,20/02/2026,-,0,
BOVAN935,PUT,R$ 93.50,20/02/2026,-,0,
BOVAB945,CALL,R$ 94.50,20/02/2026,-,0,
BOVAN945,PUT,R$ 94.50,20/02/2026,-,0,
BOVAN955,PUT,R$ 95.50,20/02/2026,-,0,
BOVAB965,CALL,R$ 96.50,20/02/2026,-,0,
BOVAN965,PUT,R$ 96.50,20/02/2026,-,0,
BOVAB975,CALL,R$ 97.50,20/02/2026,-,0,
BOVAN975,PUT,R$ 97.50,20/02/2026,-,0,
BOVAB985,CALL,R$ 98.50,20/02/2026,-,0,
BOVAN985,PUT,R$ 98.50,20/02/2026,-,0,
BOVAB995,CALL,R$ 99.50,20/02/2026,-,0,
BOVAN191,PUT,R$ 191.00,20/02/2026,32.8%,0,27.39
BOVAN197,PUT,R$ 197.00,20/02/2026,34.4%,0,
BOVAN198,PUT,R$ 198.00,20/02/2026,35.2%,0,
BOVAN199,PUT,R$ 199.00,20/02/2026,35.8%,0,
BOVAN215,PUT,R$ 215.00,20/02/2026,46.6%,0,
BOVAN225,PUT,R$ 225.00,20/02/2026,53.1%,0,
BOVAB230,CALL,R$ 230.00,20/02/2026,-,0,
BOVAN230,PUT,R$ 230.00,20/02/2026,56.1%,0,
BOVAN235,PUT,R$ 235.00,20/02/2026,59.2%,0,
BOVAN240,PUT,R$ 240.00,20/02/2026,62.0%,0,
BOVAB245,CALL,R$ 245.00,20/02/2026,-,0,
BOVAN245,PUT,R$ 245.00,20/02/2026,64.8%,0,
BOVAN250,PUT,R$ 250.00,20/02/2026,67.6%,0,
BOVAN260,PUT,R$ 260.00,20/02/2026,73.0%,0,
