ticker,type,strike,expiry,iv,open_interest,market_price
BOVAB180,CALL,R$ 180.00,20/02/2026,18.1%,10358956,0.22
BOVAB170,CALL,R$ 170.00,20/02/2026,14.9%,7338049,1.03
BOVAN155,PUT,R$ 155.00,20/02/2026,18.9%,7276631,0.4
BOVAN154,PUT,R$ 154.00,20/02/2026,19.6%,6413084,0.32
BOVAN150,PUT,R$ 150.00,20/02/2026,21.7%,5934338,0.18
BOVAB158,CALL,R$ 158.00,20/02/2026,13.5%,5810916,7.49
BOVAN160,PUT,R$ 160.00,20/02/2026,17.1%,5789590,1.11
BOVAB154,CALL,R$ 154.00,20/02/2026,12.3%,5641966,10.91
BOVAB155,CALL,R$ 155.00,20/02/2026,13.5%,5585508,10
BOVAB190,CALL,R$ 190.00,20/02/2026,22.8%,5381441,0.07
BOVAN158,PUT,R$ 158.00,20/02/2026,17.7%,5231971,0.74
BOVAN159,PUT,R$ 159.00,20/02/2026,17.4%,5094361,0.91
BOVAN120,PUT,R$ 120.00,20/02/2026,38.6%,5001053,0.01
BOVAN156,PUT,R$ 156.00,20/02/2026,18.4%,4918493,0.48
BOVAN157,PUT,R$ 157.00,20/02/2026,18.1%,4469789,0.56
BOVAB153,CALL,R$ 153.00,20/02/2026,-,4402463,11.72
BOVAN153,PUT,R$ 153.00,20/02/2026,20.0%,4202412,0.28
BOVAB159,CALL,R$ 159.00,20/02/2026,13.8%,4137939,6.63
BOVAN110,PUT,R$ 110.00,20/02/2026,38.3%,4073754,0.01
BOVAN100,PUT,R$ 100.00,20/02/2026,39.6%,3890392,0.01
BOVAB162,CALL,R$ 162.00,20/02/2026,14.5%,3660624,4.44
BOVAB160,CALL,R$ 160.00,20/02/2026,14.1%,3659597,5.83
BOVAB157,CALL,R$ 157.00,20/02/2026,12.9%,3624434,8.31
BOVAN145,PUT,R$ 145.00,20/02/2026,24.7%,3593374,0.1
BOVAB150,CALL,R$ 150.00,20/02/2026,-,3560783,14.56
BOVAN151,PUT,R$ 151.00,20/02/2026,21.0%,3490020,0.2
BOVAN161,PUT,R$ 161.00,20/02/2026,16.9%,3144882,1.37
BOVAB166,CALL,R$ 166.00,20/02/2026,14.6%,3129074,2.28
BOVAN165,PUT,R$ 165.00,20/02/2026,16.4%,3081909,2.93
BOVAN115,PUT,R$ 115.00,20/02/2026,36.6%,3052305,0.01
BOVAB172,CALL,R$ 172.00,20/02/2026,15.2%,2999499,0.72
BOVAB163,CALL,R$ 163.00,20/02/2026,14.4%,2996339,3.81
BOVAB156,CALL,R$ 156.00,20/02/2026,14.6%,2969364,9.16
BOVAB165,CALL,R$ 165.00,20/02/2026,14.5%,2966171,2.7
BOVAB151,CALL,R$ 151.00,20/02/2026,-,2952404,13.63
BOVAB161,CALL,R$ 161.00,20/02/2026,14.3%,2814000,5.14
BOVAB171,CALL,R$ 171.00,20/02/2026,15.0%,2734824,0.86
BOVAN123,PUT,R$ 123.00,20/02/2026,33.9%,2655251,0.01
BOVAN118,PUT,R$ 118.00,20/02/2026,34.3%,2613844,0.01
BOVAB174,CALL,R$ 174.00,20/02/2026,15.8%,2376832,0.5
BOVAN105,PUT,R$ 105.00,20/02/2026,38.1%,2350301,0.01
BOVAN148,PUT,R$ 148.00,20/02/2026,22.9%,2299811,0.13
BOVAN162,PUT,R$ 162.00,20/02/2026,16.6%,2262725,1.7
BOVAB130,CALL,R$ 130.00,20/02/2026,-,2186702,33.99
BOVAN106,PUT,R$ 106.00,20/02/2026,39.0%,2079849,0.01
BOVAB176,CALL,R$ 176.00,20/02/2026,16.4%,2030948,0.31
BOVAN800,PUT,R$ 80.00,20/02/2026,48.6%,2011599,0.01
BOVAB167,CALL,R$ 167.00,20/02/2026,14.6%,1964050,1.9
BOVAN140,PUT,R$ 140.00,20/02/2026,27.8%,1937151,0.06
BOVAB168,CALL,R$ 168.00,20/02/2026,14.7%,1887089,1.55
BOVAB145,CALL,R$ 145.00,20/02/2026,-,1806812,19.67
BOVAB169,CALL,R$ 169.00,20/02/2026,14.8%,1804165,1.28
BOVAB175,CALL,R$ 175.00,20/02/2026,16.1%,1774032,0.42
BOVAB138,CALL,R$ 138.00,20/02/2026,-,1709687,26.22
BOVAN111,PUT,R$ 111.00,20/02/2026,37.1%,1693459,0.01
BOVAB164,CALL,R$ 164.00,20/02/2026,14.5%,1681207,3.25
BOVAN130,PUT,R$ 130.00,20/02/2026,33.3%,1573785,0.02
BOVAN164,PUT,R$ 164.00,20/02/2026,16.4%,1543085,2.51
BOVAN125,PUT,R$ 125.00,20/02/2026,33.8%,1524015,0.01
BOVAN152,PUT,R$ 152.00,20/02/2026,20.5%,1511112,0.24
BOVAB135,CALL,R$ 135.00,20/02/2026,-,1487062,29.49
BOVAN163,PUT,R$ 163.00,20/02/2026,16.5%,1456790,2.05
BOVAB140,CALL,R$ 140.00,20/02/2026,-,1443630,24.2
BOVAN170,PUT,R$ 170.00,20/02/2026,16.7%,1413312,6.5
BOVAN122,PUT,R$ 122.00,20/02/2026,34.8%,1404143,0.01
BOVAB152,CALL,R$ 152.00,20/02/2026,19.4%,1301241,12.8
BOVAN146,PUT,R$ 146.00,20/02/2026,24.2%,1279480,0.12
