ticker,type,strike,expiry,iv,open_interest,market_price
BOVAM134W4,PUT,R$ 134.00,23/01/2026,36.2%,16950,0
BOVAC124,CALL,R$ 124.00,20/03/2026,0.0%,16930,2.41
BOVAD125,CALL,R$ 125.00,17/04/2026,0.0%,16870,-1.09
BOVAD159,CALL,R$ 159.00,17/04/2026,14.0%,16808,-1.43
BOVAL129,CALL,R$ 129.00,18/12/2026,0.0%,16794,0.62
BOVAJ36,CALL,R$ 180.00,16/10/2026,14.5%,16700,35.26
BOVAW111,PUT,R$ 111.00,19/11/2026,23.9%,16500,0
BOVAJ70,CALL,R$ 70.00,16/10/2026,0.0%,16374,-1.03
BOVAI148,CALL,R$ 148.00,18/09/2026,0.0%,16350,7.56
BOVAX127,PUT,R$ 127.00,18/12/2026,28.0%,16330,-31.97
BOVAM138W5,PUT,R$ 138.00,30/01/2026,35.9%,16200,0
BOVAW16,PUT,R$ 114.00,19/11/2026,28.2%,16190,-50.55
BOVAW134,PUT,R$ 134.00,19/11/2026,0.0%,16090,28.21
BOVAL16,CALL,R$ 119.00,18/12/2026,0.0%,16014,3.53
BOVAB101,CALL,R$ 101.00,20/02/2026,0.0%,16003,1.55
BOVAP105,PUT,R$ 105.00,17/04/2026,33.5%,16003,100
BOVAV128,PUT,R$ 128.00,16/10/2026,26.9%,16001,-45.51
BOVAW126,PUT,R$ 126.00,19/11/2026,26.6%,16000,0
BOVAW127,PUT,R$ 127.00,19/11/2026,27.5%,16000,0
BOVAB225,CALL,R$ 225.00,20/02/2026,36.6%,15973,0
BOVAK100,CALL,R$ 100.00,19/11/2026,53.7%,15535,12.64
BOVAB760,CALL,R$ 76.00,20/02/2026,0.0%,15501,-0.46
BOVAW199,PUT,R$ 200.00,19/11/2026,24.3%,15387,-1.25
BOVAJ140,CALL,R$ 140.00,16/10/2026,0.0%,15177,0.86
BOVAS30,PUT,R$ 130.00,17/07/2026,24.2%,15100,0
BOVAD123,CALL,R$ 123.00,17/04/2026,0.0%,15001,0
BOVAN915,PUT,R$ 91.50,20/02/2026,43.2%,15000,0
BOVAD162,CALL,R$ 162.00,17/04/2026,14.7%,14853,8.44
BOVAU200,PUT,R$ 200.00,18/09/2026,25.2%,14777,-12.34
BOVAN162W1,PUT,R$ 162.00,06/02/2026,15.9%,14741,-26.63
BOVAI200,CALL,R$ 200.00,18/09/2026,17.1%,14616,1.81
BOVAD168,CALL,R$ 168.00,17/04/2026,18.4%,14381,15.48
BOVAD174,CALL,R$ 174.00,17/04/2026,15.1%,14293,2.12
BOVAQ133,PUT,R$ 133.00,15/05/2026,24.8%,14131,-32.5
BOVAQ127,PUT,R$ 127.00,15/05/2026,25.4%,14010,-33.33
BOVAD178,CALL,R$ 178.00,17/04/2026,15.7%,13930,12.12
BOVAC192,CALL,R$ 192.00,20/03/2026,19.6%,13919,-21.73
BOVAV36,PUT,R$ 180.00,16/10/2026,23.8%,13800,-5.3
BOVAN155W1,PUT,R$ 155.00,06/02/2026,18.1%,13790,-14.28
BOVAB154W4,CALL,R$ 154.00,27/02/2026,12.8%,13700,3.66
BOVAA138W5,CALL,R$ 138.00,30/01/2026,0.0%,13686,4.83
BOVAN161W1,PUT,R$ 161.00,06/02/2026,16.0%,13665,-16.17
BOVAN160W4,PUT,R$ 160.00,27/02/2026,14.5%,13650,0
BOVAA192W4,CALL,R$ 192.00,23/01/2026,32.9%,13650,0
BOVAM159W5,PUT,R$ 159.00,30/01/2026,16.7%,13644,0
BOVAN152W4,PUT,R$ 152.00,27/02/2026,18.3%,13602,-11.42
BOVAS140,PUT,R$ 140.00,17/07/2026,22.5%,13600,-28
BOVAC129,CALL,R$ 129.00,20/03/2026,0.0%,13559,2.75
BOVAF149,CALL,R$ 149.00,19/06/2026,12.8%,13234,0
BOVAR800,PUT,R$ 80.00,19/06/2026,42.0%,13200,-50
BOVAT132,PUT,R$ 132.00,21/08/2026,24.1%,13100,-10.84
BOVAK140,CALL,R$ 140.00,19/11/2026,0.0%,13000,3.27
